COMPANY,COUNTRY,STORE_ID,STORE_NAME,ADDRESS,CITY,PROVINCE,PHONE,LATITUDE,LONGITUDE,POSTCODE
ARC,CANADA,20001319,Supercenter  -  SCARBOROUGH (NE) #1080,5995 Steeles Ave E,Scarborough,ON,(416) 298-121,43.83586,-79.2537,M1V 5P6
ARC,CANADA,20001321,Supercenter  -  Scarborough (West) #3159,1900 Eglinton Ave E,Scarborough-West,ON,(416) 615-202,43.72673,-79.29352,M1L 2L9
ARC,CANADA,20001323,ARC  -  Toronto (Stockyards) #1004,2525 St Clair Ave W,Toronto,ON,(416) 763-732,43.66897,-79.48356,M6N 4Z5
ARC,CANADA,20004029,ARC  -  Mississauga (Square One) #3055,100 City Centre Dr,Mississauga,ON,(905) 270-930,43.59196,-79.6394,L5B 2C9
ARC,CANADA,20004053,ARC  -  Mississauga (Meadowvale) #3054,3155 Argentia Rd,Mississauga,ON,(905) 821-815,43.59476,-79.78699,L5N 8E1
